No,Code
0001,17825793
0002,59406347
0003,63723534
0004,55123987
0005,54378519
0006,64684055
0007,49532961
0008,70658083
0009,52758566
0010,44501032
0011,53553198
0012,20791342
0013,45910062
0014,26607665
0015,95649842
0016,54906937
0017,38615097
0018,60964923
0019,60837957
0020,63369291
0021,25929807
0022,73986133
0023,81113175
0024,81395812
0025,62566507
0026,26775662
0027,78954614
0028,75188346
0029,37343355
0030,83531901
0031,38113417
0032,49549462
0033,38258846
0034,85919903
0035,86173854
0036,94087331
0037,18286755
0038,80220325
0039,60942506
0040,71370923
0041,99518641
0042,79128753
0043,26831027
0044,29278388
0045,62286008
0046,16060600
0047,41040058
0048,28977341
0049,85688519
0050,47345867
0051,56324302
0052,92256465
0053,17711317
0054,26204373
0055,30640344
0056,36956381
0057,69751006
0058,37368035
0059,21829860
0060,45574373
0061,20744421
0062,74033381
0063,27355368
0064,24404202
0065,41214192
0066,11923696
0067,55632120
0068,69798145
0069,17090822
0070,37642506
0071,36327694
0072,54563090
0073,87017749
0074,48447775
0075,56408356
0076,99719462
0077,77693223
0078,45898048
0079,78053696
0080,59742530
0081,56371525
0082,35397968
0083,41107808
0084,72962400
0085,13631840
0086,33335651
0087,98677100
0088,23380340
0089,73490809
0090,91707776
0091,40382849
0092,47042950
0093,74895751
0094,62706057
0095,92721548
0096,69740941
0097,28234127
0098,45171092
0099,74885525
0100,29553054
0101,73007519
0102,25147816
0103,82139570
0104,44392886
0105,57956797
0106,53103041
0107,16058823
0108,16753098
0109,88895950
0110,78285272
0111,19384795
0112,81813981
0113,98820582
0114,84242925
0115,28252668
0116,22450697
0117,86743563
0118,84001293
0119,29399574
0120,83010073
0121,40528418
0122,41927203
0123,36457006
0124,30196275
0125,24001078
0126,66030134
0127,20838968
0128,25535038
0129,26655295
0130,75594306
0131,91216450
0132,54094413
0133,41650766
0134,58800729
0135,63111774
0136,54829669
0137,99506789
0138,89256554
0139,24928878
0140,73337461
0141,32090743
0142,89305722
0143,17783420
0144,45578877
0145,20992640
0146,97628802
0147,92324490
0148,27853452
0149,34386573
0150,93309592
0151,51950234
0152,46215836
0153,99656352
0154,19602083
0155,20069027
0156,83534499
0157,39658152
0158,83591856
0159,70066865
0160,40616629
0161,15909560
0162,14660280
0163,49054395
0164,49474240
0165,68758213
0166,47884997
0167,69653194
0168,11025107
0169,55835350
0170,92642009
0171,23548636
0172,12749535
0173,42195682
0174,21304041
0175,52781802
0176,78019309
0177,25553652
0178,91429621
0179,81486582
0180,25424633
0181,30458617
0182,11920127
0183,34501375
0184,57764609
0185,73341701
0186,26049290
0187,88290060
0188,11449101
0189,80605965
0190,98960148
0191,71119637
0192,25563929
0193,64811802
0194,49062682
0195,73726749
0196,60306208
0197,96439076
0198,69878566
0199,22291239
0200,53926697
0201,93379370
0202,87558955
0203,52605742
0204,65835825
0205,43518776
0206,27962183
0207,84097868
0208,27974477
0209,55651152
0210,61102936
0211,26334047
0212,81113955
0213,67140461
0214,71170926
0215,97334128
0216,60472178
0217,61021043
0218,52730743
0219,83143548
0220,49546112
0221,58348423
0222,79205260
0223,15960973
0224,85322637
0225,74165135
0226,63433616
0227,58530704
0228,34364306
0229,52011923
0230,46244758
0231,43850647
0232,30514076
0233,70310817
0234,99808167
0235,98708396
0236,79559597
0237,31251375
0238,30204861
0239,70546375
0240,36815822
0241,84087770
0242,49679322
0243,22875102
0244,65506280
0245,82639851
0246,42167286
0247,82152438
0248,14769145
0249,22295553
0250,45904898
0251,36772867
0252,43473927
0253,54359050
0254,93291536
